Name,Team,playerid,mlbid
Alfredo Angarita,- - -,sa917326,666777
Alfredo Balbuena,Rays (R),sa917462,666810
Alfredo Escalera,- - -,sa658111,622199
Alfredo Gonzalez,Orioles (A-),sa828238,650371
Alfredo Reyes,- - -,sa597093,602112
Alfredo Rodriguez,- - -,sa922180,670895
Ali Castillo,Giants (AA),sa507143,542419
Ali Sanchez,- - -,sa828198,645305
Alison Quintero,Padres (R),sa3004266,672355
Allan Cerda,Reds (R),sa3005504,678323
Allen Smoot,Rays (A-),sa3004523,677061
Alonso Concepcion,Blue Jays (R),sa3005951,681756
Alonso Gaitan,Cubs (R),sa914819,668165
Alonzo Jones,Athletics (R),sa876236,679656
Alonzo Medina,Athletics (R),sa916827,665936
Alvaro Gonzalez,Tigers (R),sa3005715,674610
Alvaro Montero,Marlins (R),sa3004725,676011
Alvaro Rubalcaba,- - -,sa3007882,682581
Alvaro Rubi,Dodgers (R),sa873546,655999
Alwinson Valdez,Brewers (R),sa3005580,678879
Amadeo Zazueta,- - -,sa328602,469117
Amado Nunez,White Sox (R),sa877349,658535
Amador Arias,Rays (R),sa3003216,672457
Amin Valdez,Dodgers (R),sa3005477,677576
Andelson Arias,Padres (R),sa3008143,678415
Anderson Bohorquez,Mets (R),sa883288,664329
Anderson Comas,White Sox (R),sa3003268,672624
Anderson Feliz,- - -,sa505526,570716
Anderson Franco,- - -,sa828322,646404
Anderson Melendez,Brewers (R),sa3003352,672833
Anderson Miller,Royals (AA),sa857824,663402
Anderson Tejeda,Rangers (A+),sa872474,660731
Andre Colon,Red Sox (A-),sa3004511,676665
Andres Angulo,Giants (R),sa872806,660437
Andres Chaparro,Yankees (A-),sa916976,665953
Andres Cordero,- - -,sa3002706,672721
Andres Gari,Red Sox (R),sa3006079,678873
Andres Gimenez,- - -,sa917114,665926
Andres Gonzalez,Angels (R),sa3006623,680993
Andres Guerra,Blue Jays (R),sa873330,662928
Andres Luna,- - -,sa828379,650880
Andres Martin,Royals (R),sa872737,661150
Andres Melendez,Brewers (R),sa3005523,678487
Andres Munoz,Padres (AA),sa919548,662253
Andres Noriega,Dodgers (R),sa3005533,678618
Andres Parra,Mets (R),sa3005594,679487
Andres Regnault,Mets (R),sa917499,666685
Andres Rosario,White Sox (R),sa3005791,680591
Andres Santana,Astros (R),sa3004998,669295
Andres Santiago,- - -,sa389212,519246
Andres Sotillo,- - -,sa657546,622807
Andres Sthormes,Tigers (A+),sa736554,641288
Andretty Cordero,Rangers (A+),sa830037,650957
Andrew Aplin,- - -,sa502787,545331
Andrew Bechtold,Twins (A),sa829787,657510
Andrew Calica,Indians (AA),sa658329,621447
Andrew Caraballo,Giants (R),sa3003359,672849
Andrew Case,Blue Jays (AA),sa829881,647188
Andrew Church,Mets (AAA),sa737545,641455
Andrew Cosgrove,Twins (R),sa3004169,676725
Andrew Ely,- - -,sa829591,657568
Andrew Fregia,Orioles (R),sa3008295,679765
Andrew Guillotte,- - -,sa876089,665039
Andrew Istler,- - -,sa827457,595995
Andrew Jayne,Orioles (R),sa3007072,681937
Andrew Knizner,- - -,sa857827,668800
Andrew Miller,- - -,sa3003435,663700
Andrew Morales,Cardinals (AAA),sa828705,656762
Andrew Moritz,Braves (R),sa3007054,680938
Andrew Pullin,Phillies (AAA),sa658016,621416
Andrew Shaps,Dodgers (R),sa3008430,656952
Andrew Sopko,Dodgers (AA),sa658286,621127
Andrew Turner,Marlins (R),sa3007032,677069
Andrew Velazquez,- - -,sa658104,623205
Andrew Warner,- - -,sa3007095,682264
Andruw Monasterio,Cubs (A+),sa830359,655316
Andry Arias,Nationals (R),sa3005735,678357
Andy Diaz,- - -,sa828133,650714
Andy Garcia,Diamondbacks (R),sa917314,666591
Andy Ibanez,Rangers (AAA),sa914201,628451
Andy McGuire,Blue Jays (R),sa3008048,624511
Andy Pages,- - -,sa3005625,681624
Andy Pineda,- - -,sa828307,656014
Andy Sugilio,Reds (A),sa828414,650443
Andy Weber,- - -,sa3008282,681581
Andy Yerzy,Diamondbacks (A-),sa917939,647378
Andy Young,- - -,sa919031,670370
Aneury Tavarez,Red Sox (AAA),sa598684,606477
Anfernee Grier,- - -,sa738988,624505
Anfernee Seymour,- - -,sa829114,656950
Angeddy Almanzar,Giants (R),sa916843,666706
Angel Aguilar,- - -,sa657323,622758
Angel Aponte,Rangers (R),sa3003319,672749
Angel Baptista,Rangers (R),sa3006196,678721
Angel Basabe,Pirates (R),sa3006432,678781
Angel Gonzalez,Red Sox (R),sa3004818,676764
Angel Guzman,Giants (R),sa3007789,681978
Angel Lopez,Rays (R),sa3003283,672657
Angel Maita,- - -,sa3005556,678785
Angel Manzanarez,Mets (A-),sa872832,660523
Angel Medina,- - -,sa917024,665858
Angel Moreno,- - -,sa738494,630029
Angel Nelo,- - -,sa3003279,672652
Angel Rojas,Yankees (R),sa3005578,678876
Angel Solarte,Padres (R),sa3007037,678222
Angel Ventura,- - -,sa597505,606226
Angelo Castellano,Royals (A+),sa657521,613546
Angelo Mora,- - -,sa597177,606196
Anibal Sierra,- - -,sa908626,671242
Anthony Bemboom,Rockies (AAA),sa579274,621532
Anthony Churlin,- - -,sa918339,669638
Anthony Coronado,White Sox (R),sa3003314,672741
Anthony Dimino,Mets (A+),sa875888,665089
Anthony Dirocie,- - -,sa827959,650702
Anthony Felipe,Marlins (R),sa3006528,678867
Anthony Garcia,- - -,sa3005924,571685
