Name,Team,playerid
Jakob Junis,Royals,13619
Keone Kela,- - -,14696
Jake Faria,Rays,13699
Jaime Barria,Angels,18356
Jesse Hahn,Athletics,13287
Richard Rodriguez,Pirates,13549
Freddy Peralta,Brewers,18679
Blaine Hardy,Tigers,6499
Daniel Norris,Tigers,13475
Jace Fry,White Sox,16159
Caleb Smith,Marlins,14875
Adam Warren,Yankees,9029
Ty Blach,Giants,14361
Randall Delgado,Diamondbacks,5985
Jose Alvarez,Angels,5358
Alex Colome,Rays,6661
Johnny Cueto,Giants,6893
Jesse Chavez,- - -,5448
Rafael Montero,Mets,12760
Will Harris,Astros,3192
Dan Winkler,Braves,12237
Jeremy Hellickson,Nationals,4371
Seung Hwan Oh,- - -,18719
Edubray Ramos,Phillies,16086
Wei-Yin Chen,Marlins,13071
Luis Garcia,Phillies,6984
Jared Hughes,Reds,9325
Tommy Hunter,Rays,1157
John Gant,Cardinals,13684
Ryne Stanek,Rays,15947
Kendall Graveman,Athletics,15514
Scott Alexander,Royals,10591
Yonny Chirinos,Rays,16401
Joey Lucchesi,Padres,19320
Brad Brach,Orioles,6627
JC Ramirez,Angels,8302
Dylan Covey,White Sox,14825
Chris Rusin,Rockies,9895
Brett Cecil,Cardinals,2660
Michael Pineda,Yankees,5372
David Hernandez,- - -,4259
Carl Edwards Jr.,Cubs,13607
Tyler Chatwood,Rockies,4338
Wade Davis,Cubs,7441
Adalberto Mejia,Twins,13188
Julio Teheran,Braves,6797
Parker Bridwell,Angels,11502
Greg Holland,Rockies,7196
Jeff Hoffman,Rockies,17432
Erasmo Ramirez,- - -,10314
Justin Wilson,- - -,4301
Oliver Perez,Indians,1514
Andrew Chafin,Diamondbacks,12988
Shohei Ohtani,Angels,19755
Tyler Lyons,Cardinals,11334
Diego Castillo,Rays,17496
Tyson Ross,- - -,7872
Jordan Zimmermann,Tigers,4505
Reyes Moronta,Giants,14966
Garrett Richards,Angels,9784
Hector Neris,Phillies,11804
Dylan Floro,- - -,13394
Ryan Tepera,Blue Jays,10291
Alex Meyer,Angels,12833
Brandon Kintzler,- - -,9939
Luiz Gohara,Braves,15166
Andrew Suarez,Giants,18300
Liam Hendriks,Athletics,3548
Edinson Volquez,Marlins,3990
Ian Kennedy,Royals,6986
Matt Moore,Giants,1890
Pedro Strop,Cubs,4070
Kyle Crick,Pirates,13182
Roenis Elias,Mariners,12673
Addison Reed,- - -,10586
Zach Duke,- - -,3840
Jerry Blevins,Mets,7841
Domingo German,Yankees,17149
Tony Sipp,Astros,8280
Frankie Montas,Athletics,14309
Jose Castillo,Padres,17169
Brett Anderson,Athletics,8223
Matt Strahm,Padres,13799
Matt Garza,Brewers,3340
Matt Albers,Nationals,4300
Sam Gaviglio,Blue Jays,12778
Luis Avilan,- - -,2882
James Shields,White Sox,7059
Eric Lauer,Padres,19316
Emilio Pagan,Mariners,14771
Pedro Baez,Dodgers,5420
Adam Kolarek,Rays,10843
Darren O'Day,Orioles,3321
Steve Cishek,Cubs,6483
Austin Gomber,Cardinals,16561
Trevor Hildenberger,Twins,17002
Richard Bleier,Orioles,7803
Ricky Nolasco,Angels,3830
Francisco Liriano,- - -,3201
Victor Arano,Phillies,15915
Hunter Strickland,Giants,7836
Ty Buttrey,Angels,14719
Steven Matz,Mets,13361
Adam Cimber,- - -,15288
Ryan Yarbrough,Rays,16502
Ben Lively,Phillies,14932
Brian Duensing,Cubs,4064
Fernando Romero,Twins,15885
Joe Kelly,Red Sox,9761
Edwin Jackson,Athletics,1841
Matt Bowman,Cardinals,13528
Tyler Glasnow,- - -,14374
Tyler Duffey,Twins,13758
Aaron Bummer,White Sox,16258
Arodys Vizcaino,Braves,5498
Sam Freeman,Braves,6832
Nick Goody,Indians,13685
Ryan Brasier,Red Sox,5615
Juan Minaya,White Sox,10341
