Name,Team,playerid
Williams Jerez,Angels,14338
Sandy Baez,Tigers,17754
Tanner Anderson,Pirates,18029
Chris Rowley,Blue Jays,18820
Zac Reininger,Tigers,15285
Jose Reyes,Mets,1736
Drew Storen,Reds,6983
Andres Machado,Royals,14681
Stephen Gonsalves,Twins,15492
Simon Castro,Athletics,9243
Hansel Robles,- - -,11801
Kyle Ryan,Tigers,11753
Wilmer Font,Dodgers,5257
Evan Scribner,Mariners,7525
Christian Bergman,Mariners,10925
Justin Shafer,Blue Jays,16132
Alex Wimmers,Twins,11394
Jeff Beliveau,Blue Jays,8504
Dan Runzler,Pirates,4080
David Hale,- - -,9756
Jose De Leon,Rays,15463
Kevin Plawecki,Mets,13807
Carlos Torres,Nationals,7624
Buddy Boshers,Twins,8490
Jeff Mathis,Diamondbacks,3448
Ryan Cook,Mariners,8855
Jacob Rhame,Mets,15267
Clay Holmes,Pirates,13649
D.J. Snelten,Giants,15949
Hector Santiago,Twins,4026
Jose Valdez,Giants,14470
Zack Littell,Twins,15823
Jeff Brigham,Marlins,16631
Onelki Garcia,Royals,13674
Kyle Wright,Braves,19665
Michael Brady,Athletics,8461
John Lamb,Angels,8493
Chance Adams,Yankees,18135
Eric Stout,Royals,16873
Ian Hamilton,White Sox,19261
Buddy Baumann,Padres,9309
Eric O'Flaherty,Braves,5746
Jordan Jankowski,Astros,13313
Seth Maness,Royals,12235
J.P. Howell,Blue Jays,8245
Tom Wilhelmsen,Diamondbacks,9975
Michael Tonkin,Twins,10315
Dillon Overton,- - -,15627
Jimmy Cordero,Nationals,15690
Josh Smoker,Mets,10285
Johnny Barbato,Pirates,11440
Grant Dayton,Dodgers,11203
Tyler Bashlor,Mets,15203
Josh Osich,Giants,11528
Junichi Tazawa,Marlins,4079
Logan Verrett,Orioles,12905
Luke Bard,Angels,14288
Hisashi Iwakuma,Mariners,13048
Nik Turley,Twins,5530
Nestor Cortes,Orioles,17874
Ryan Meisinger,Orioles,18105
Adam Plutko,Indians,15846
Justin Nicolino,Marlins,11754
Jaime Schultz,Rays,15066
Barrett Astin,Reds,14812
Angel Sanchez,Pirates,11776
Kolby Allard,Braves,18694
Jacob Turner,- - -,10185
Dustin McGowan,Marlins,8600
Gerson Bautista,Mets,19256
Matt Magill,Twins,3950
Michael Blazek,Brewers,9654
Felix Jorge,Twins,14532
Joe Blanton,Nationals,4849
Edward Mujica,Tigers,3970
Myles Jaye,Tigers,11769
Paolo Espino,- - -,8246
Harrison Musgrave,Rockies,16532
Raul Alcantara,Athletics,12790
Chris Heston,- - -,10302
Kevin Quackenbush,Reds,12360
Ryan Burr,White Sox,17536
Enrique Hernandez,Dodgers,10472
Ben Meyer,Marlins,18854
Jesen Therrien,Phillies,15853
Walker Lockett,Padres,13804
Michael Ynoa,White Sox,14093
Chris Flexen,Mets,13896
Rookie Davis,Reds,14962
Tyler Thornburg,Red Sox,10688
Mat Latos,Blue Jays,3815
Matt Dermody,Blue Jays,14844
Brett Kennedy,Padres,17877
Chris Young,Royals,3196
Corey Oswalt,Mets,13677
Jake Newberry,Royals,15136
Jacob Nix,Padres,17775
Warwick Saupold,Tigers,13211
Nick Kingham,Pirates,11694
Tim Collins,Nationals,3164
Robby Scott,Red Sox,13042
Ariel Hernandez,Reds,15603
Tim Adleman,Reds,10968
Jason Adam,Royals,11861
Nick Rumbelow,Mariners,14867
Brad Goldberg,White Sox,14776
Mike Bolsinger,Blue Jays,11137
Lisalverto Bonilla,Reds,11266
Austen Williams,Nationals,16309
Jason Motte,Braves,5861
Joely Rodriguez,Phillies,11487
Justin Grimm,Cubs,11720
Preston Guilmet,- - -,7303
Elieser Hernandez,Marlins,16933
Yimi Garcia,Dodgers,12095
Chris Tillman,Orioles,5279
Ryan Carpenter,Tigers,12699
Tim Peterson,Mets,13946
Evan Phillips,- - -,17734
Josh Collmenter,Braves,7312
Cody Carroll,Orioles,17664
Jefry Rodriguez,Nationals,17018
Ricardo Pinto,Phillies,16318
Adam Wilk,- - -,8421
Nick Tepesch,- - -,11716
Tanner Rainey,Reds,17610
Antonio Bastardo,Pirates,8844
Casey Fien,- - -,3926
Tom Koehler,- - -,6570
Chris Beck,- - -,13418
Brian Ellington,Marlins,17233
Travis Wood,- - -,9884
Drew Hutchison,- - -,10732
Jason Grilli,- - -,521
Burch Smith,Royals,12784
Pedro Araujo,Orioles,17697
Kevin Jepsen,Rangers,6475
Neftali Feliz,- - -,18
Bronson Arroyo,Reds,978
Francisco Rodriguez,Tigers,1642
David Holmberg,White Sox,7725
Chris Smith,Athletics,4544
Jered Weaver,Padres,4235
Mike Pelfrey,White Sox,5203
