Name,Team,playerid
Alex Royalty,- - -,sa3006825
Alex Scherff,- - -,sa3005397
Alex Speas,Rangers (A),sa917945
Alex Troop,Nationals (A),sa915638
Alex Valdez,- - -,sa3005432
Alex Valverde,Rays (A),sa3005207
Alex Vesia,- - -,sa3008070
Alex Webb,Reds (A+),sa876242
Alex Wells,Orioles (A+),sa919319
Alex Winkelman,Astros (AA),sa874113
Alex Young,- - -,sa658917
Alexander Guillen,Rockies (A+),sa737454
Alexander Hernandez,Rangers (R),sa945258
Alexander Martinez,Rockies (R),sa880047
Alexander Molina,Blue Jays (R),sa3002970
Alexander Montero,Red Sox (A-),sa3005222
Alexander Pantuso,Athletics (R),sa3007782
Alexander Vargas,- - -,sa835895
Alexander Vizcaino,- - -,sa920272
Alexis Araujo,Phillies (R),sa3006098
Alexis Candelario,Mexican (AAA),sa3000055
Alexis Carmona,Blue Jays (R),sa3006375
Alexis Cedano,Athletics (R),sa3006641
Alexis Diaz,Reds (R),sa875576
Alexis Herrera,Phillies (R),sa3005120
Alexis Pantoja,Indians (AA),sa829182
Alexis Portillo,Mexican (AAA),sa3001065
Alexis Ramirez,- - -,sa3006545
Alexis Rivero,- - -,sa735860
Alexis Tapia,Rays (A+),sa737330
Alexuan Vega,Padres (R),sa3008334
Alfonso Hernandez,- - -,sa917812
Alfonso Sanchez,- - -,sa508091
Alfred Gutierrez,- - -,sa656043
Alfred Vega,Yankees (R),sa3006495
Alfredi Jimenez,- - -,sa3006479
Alfredo Castaneda,Padres (R),sa3006120
Alfredo Colorado,Cubs (R),sa830006
Alfredo Garcia,Rockies (R),sa3003045
Alfredo Silva,- - -,sa917885
Alfredo Tavarez,Dodgers (A),sa918485
Algenis Martinez,- - -,sa737233
Alis Atagua,Brewers (R),sa3007849
Allan Beltre,Reds (R),sa3006356
Allan Winans,Mets (R),sa3007580
Allen Montgomery,- - -,sa3008245
Allen Smoot,Rays (A-),sa3004523
Allinson Benitez,Cardinals (R),sa3003024
Alonso Garcia,Cubs (R),sa824770
Alvaro Ferreras,Giants (R),sa3008481
Alvaro Galindo,Blue Jays (R),sa873333
Alvaro Leal,Red Sox (R),sa3007844
Alvaro Rubalcaba,Angels (A),sa3007882
Alvaro Seijas,Cardinals (A),sa861440
Alvery De Los Santos,Blue Jays (R),sa3004828
Amilcar Cruz,- - -,sa919203
Amilcar Gaxiola,Mexican (AAA),sa510464
Anderson Acevedo,Cubs (R),sa877830
Anderson Amarista,- - -,sa917061
Anderson Bido,Rockies (R),sa3004204
Anderson Mercedes,Mariners (R),sa3005711
Anderson Munoz,Yankees (R),sa3007840
Anderson Nunez,- - -,sa923057
Anderson Parra,Cubs (R),sa3002682
Anderson Paulino,Royals (R),sa3007991
Anderson Pilar,- - -,sa917899
Anderson Polanco,Indians (A+),sa596949
Anderson Reynoso,- - -,sa919025
Anderson Severino,- - -,sa838671
Andersson Espinal,Angels (R),sa3002987
Andre Jackson,- - -,sa829605
Andre Scrubb,- - -,sa873285
Andres Arrieta,- - -,sa3005817
Andres Avila,Mexican (AAA),sa541874
Andres Diaz,Royals (R),sa3006159
Andres Falcon,Reds (R),sa3006632
Andres German,- - -,sa3002937
Andres Guerra,Blue Jays (R),sa873330
Andres Ivan Meza,Mexican (AAA),sa508496
Andres Jimenez,Red Sox (R),sa917163
Andres Munoz,- - -,sa919548
Andres Nunez,- - -,sa3006796
Andres Pena,Angels (R),sa3003155
Andres Santiago,- - -,sa389212
Andres Sotillet,- - -,sa917861
Andres Sthormes,Tigers (A+),sa736554
Andrew Aplin,Mariners (AAA),sa502787
Andrew Beckwith,- - -,sa3004206
Andrew Bernstein,Rays (R),sa3008304
Andrew Brown,- - -,sa918255
Andrew Budier,Dodgers (R),sa3006111
Andrew Cabezas,Twins (R),sa3007461
Andrew Case,- - -,sa829881
Andrew Church,- - -,sa737545
Andrew Ciolli,Orioles (R),sa3007623
Andrew Deramo,Blue Jays (A),sa918673
Andrew Edwards,- - -,sa738219
Andrew Gist,- - -,sa913053
Andrew Guillotte,Blue Jays (AA),sa876089
Andrew Gutierrez,Mexican (AAA),sa3002587
Andrew Istler,- - -,sa827457
Andrew Jordan,- - -,sa875613
Andrew Karp,- - -,sa3007707
Andrew Lantrip,- - -,sa3008065
Andrew Lee,Nationals (A),sa856275
Andrew McDonald,Reds (R),sa857612
Andrew Miller,Marlins (R),sa3008557
Andrew Mitchell,- - -,sa3007801
Andrew Morales,- - -,sa828705
Andrew Perez,- - -,sa3006640
Andrew Politi,Red Sox (A-),sa3007243
Andrew Potter,Mexican (AAA),sa658839
Andrew Ryan,Mets (R),sa3007784
Andrew Schwaab,- - -,sa857571
Andrew Sopko,- - -,sa658286
Andrew Summerville,Cardinals (A),sa829686
Andrew Thome,Astros (AAA),sa827462
Andrew Tomasovich,Athletics (A+),sa875302
Andrew Wantz,- - -,sa3006703
Andriu Marin,Twins (R),sa872815
Andro Cutura,Twins (A+),sa827476
Andry Cuevas,Reds (R),sa3003054
Andry Rondon,Cubs (R),sa830157
Andy Cox,- - -,sa876303
Andy Hernandez,Cubs (R),sa3006509
Andy McGuire,Blue Jays (R),sa3008048
Andy Ravel,- - -,sa738700
Andy Reyes,Phillies (R),sa3006134
Andy Rohloff,Giants (R),sa3004677
Andy Rubio,Indians/Brewers (R),sa3006639
Andy Salcido,Mexican (AAA),sa3005407
Andy Santana,Tigers (R),sa3002957
Andy Toelken,- - -,sa3007218
Aneudis Beard,Rangers (R),sa3003125
Aneudy Acosta,Giants (R),sa917759
Aneudy Duarte,Rockies (R),sa917063
Aneurys Zabala,- - -,sa828514
Anfernee Benitez,- - -,sa657700
Angel Acevedo,- - -,sa917893
Angel Adrian Ramirez,Mexican (AAA),sa502235
Angel Araiza,Mexican (AAA),sa542183
Angel Baptista,Rangers (R),sa3006196
Angel Cuenca,- - -,sa3006414
Angel De Jesus,- - -,sa921876
Angel Duno,Athletics (A+),sa657211
Angel Felipe,Rays (R),sa881181
Angel German,Pirates (A+),sa739256
Angel Guillen,Nationals (A-),sa828481
Angel Landazuri,Mexican (AAA),sa549571
Angel Macuare,Astros (R),sa3003039
Angel Martinez,Pirates (R),sa917368
Angel Obando,Yankees (R),sa3006637
Angel Ortega,Cardinals (R),sa3003025
Angel Ozuna,Tigers (R),sa3003151
Angel Padron,Red Sox (A),sa873319
Angel Perdomo,Blue Jays (A+),sa658084
Angel Ramirez,Rays (R),sa3003010
Angel Reyes,- - -,sa3006985
Angel Rodriguez,- - -,sa871630
Angel Rodriguez,Mexican (AAA),sa922462
Angel Rondon,- - -,sa917908
Angel Sosa,Red Sox (R),sa3006126
Angel Suero,Pirates (R),sa3005429
Angel Ventura,- - -,sa597505
Angel Zerpa,Royals (R),sa3002993
Angello Infante,Athletics (R),sa916705
Angelo Mora,Dodgers (AAA),sa597177
Anthony Bender,Royals (A+),sa918438
Anthony Carter,Mexican (AAA),sa302341
Anthony Castro,- - -,sa656041
Anthony Escobar,Twins (R),sa3005691
Anthony Kay,- - -,sa738470
Anthony Marzi,- - -,sa884740
Anthony McIver,- - -,sa875625
Anthony Miller,Indians (A+),sa875767
Anthony Misiewicz,- - -,sa874099
Anthony Shew,- - -,sa921212
Anthony Trompiz,Cardinals (R),sa879106
Anton Kuznetsov,Phillies (A-),sa3004331
Antonio Canizales,Phillies (R),sa923371
Antonio Cardenas,Diamondbacks (R),sa3002681
Antonio Garzon,- - -,sa509479
Antonio Guzman,Mexican (AAA),sa507037
Antonio Hernandez,Dodgers (R),sa3002788
Antonio Jimenez,Rays (R),sa3008074
Antonio Nunez,Astros (AAA),sa829188
Antonio Placencia,Astros (R),sa3008583
Antonio Pujols,Orioles (R),sa3002929
Antonio Santos,- - -,sa881171
Antonio Villalba,Mets (R),sa3005884
Anyelo Gomez,Yankees (AAA),sa737475
Anyelo Luna,Yankees (R),sa3003048
Argelis Herrera,Yankees (R),sa916946
Argenis Angulo,Indians (AA),sa829470
Argenis Batista,Red Sox (R),sa3006518
Argenis Bravo,- - -,sa3005203
Argenis Liriano,- - -,sa3006104
Argenis Romano,- - -,sa872882
Ariel Gracia,Mexican (AAA),sa657629
Ariel Mojica,Reds (R),sa3003099
Ariel Vega,Brewers (R),sa3008579
Arik Sikula,Mexican (AAA),sa579472
Arlinthon De Dios,Pirates (R),sa3005446
Armando Acosta,Red Sox (R),sa3008541
Armando Rivero,Mexican (AAA),sa739701
Arnaldo Hernandez,- - -,sa828154
Aron McRee,White Sox (A),sa919545
Art Warren,Mariners (AA),sa875374
Arturo Barradas,Mexican (AAA),sa328589
Arturo Florentino,- - -,sa3000633
Arturo Reyes,Cardinals (AAA),sa739006
Arvicent Perez,Tigers (A-),sa655950
Ashton Goudeau,- - -,sa658634
Augusto Calderon,Cardinals (R),sa3006406
Austin Anderson,Tigers (R),sa3007722
Austin Briggs,Athletics (R),sa3007261
Austin Coley,- - -,sa738368
Austin Conway,- - -,sa3006837
Austin Cox,Royals (R),sa3007777
Austin DeCarr,Yankees (A),sa828795
Austin Drury,- - -,sa3008043
Austin Franklin,Rays (A),sa917977
Austin Gardner,- - -,sa3004459
Austin Glorius,- - -,sa883131
Austin Hamilton,- - -,sa3004717
Austin Hansen,Astros (A-),sa3006956
Austin House,Rockies (AAA),sa502193
Austin Hutchison,- - -,sa3004018
Austin Krzeminski,Angels (A),sa3004121
Austin Lambright,Royals (R),sa3007236
Austin Mason,- - -,sa875720
Austin McGeorge,- - -,sa918047
Austin Moore,Rockies (A),sa918589
Austin Morales,Royals (R),sa3003003
Austin Orewiler,Reds (A),sa875673
Austin Pettibone,- - -,sa827460
Austin Ross,- - -,sa3007817
Austin Rubick,Brewers (R),sa875861
Austin Schulfer,Twins (R),sa3007585
Austin Sexton,- - -,sa857572
Austin Shields,Pirates (R),sa918940
Austin Smith,- - -,sa874790
Austin Sodders,Tigers (A+),sa875749
Austin Upshaw,Cubs (A),sa3004498
Austin Warner,- - -,sa3004494
Austin Warren,- - -,sa3006978
Austin Wright,Rays (AA),sa455460
Axel Acevedo,- - -,sa3005833
Axel Rios,Mexican (AAA),sa595954
Axsel Jimenez,Royals (R),sa3006143
B.J. Myers,Rays (A-),sa3006756
Bailey Clark,- - -,sa857562
Bailey Cummings,Phillies (R),sa3005266
Bailey Falter,- - -,sa875033
Bailey Ober,Twins (A),sa918555
Bairon De La Rosa,Tigers (R),sa879803
Barrett Loseke,Yankees (R),sa3008243
Beau Burrows,Tigers (AA),sa874682
Beau Sulser,Pirates (A),sa3004099
Ben Bengtson,Pirates (A),sa3004291
Ben Bowden,- - -,sa873701
Ben Bracewell,- - -,sa837103
Ben Braymer,- - -,sa918477
Ben Brown,- - -,sa3005122
Ben Griset,Mexican (AAA),sa550008
Ben Hecht,Cubs (A),sa738501
Ben Holmes,- - -,sa549147
Ben Krauth,- - -,sa918347
Ben Madison,Giants (R),sa3008173
Ben Morrison,Angels (R),sa3006705
Ben Sheckler,- - -,sa918099
Ben Strahm,Giants (R),sa3007255
Ben Yokley,- - -,sa875997
Bengie Gonzalez,Nationals (AAA),sa454764
Benito Garcia,Mets (R),sa3005891
Benjamin Onyshko,- - -,sa3008096
Benjamin Rodriguez,Cubs (R),sa3004962
Benjamin Sandoval,Mexican (AAA),sa545115
Bennett Sousa,- - -,sa913181
Benny Suarez,- - -,sa659041
Benony Robles,- - -,sa3006135
Benton Moss,- - -,sa829290
Bernardo Flores,- - -,sa874080
Billy Layne Jr.,Rangers (R),sa876243
Billy Lescher,- - -,sa3004471
Billy Oxford,- - -,sa3004478
Billy Strode,Indians (A+),sa857589
Bladimir Matos,Braves (A+),sa877507
Blaine Knight,Orioles (A-),sa3008532
Blair Lakso,Twins (R),sa3004002
Blake Bass,- - -,sa875190
Blake Battenfield,- - -,sa3002734
Blake Bennett,- - -,sa3007940
Blake Bivens,- - -,sa828880
Blake Cederlind,- - -,sa875318
Blake Hickman,White Sox (A+),sa658504
Blake Lillis,Brewers (R),sa918559
Blake Pflughaupt,Rays (A-),sa3004706
Blake Quinn,- - -,sa874229
Blake Rivera,Giants (A-),sa3008261
Blake Rogers,Padres (A+),sa876290
Blake Smith,- - -,sa875411
Blake Taylor,- - -,sa737558
Blake Weiman,- - -,sa3004211
Blake Whitney,Cubs (R),sa3007966
Blake Workman,Diamondbacks (R),sa3007856
Blakely Brown,Yankees (R),sa3008480
Blas Castano,Yankees (R),sa3006617
Blayne Enlow,Twins (A),sa3005117
Blinger Perez,Padres (R),sa918098
Bo Takahashi,- - -,sa830370
Bo Tucker,Angels (R),sa829823
Bo Way,- - -,sa829126
Bobby Eveld,Rangers (A-),sa925010
Bobby Milacki,Nationals (R),sa3007216
Boby Johnson,Rockies (A-),sa3006983
Boomer Biegalski,Athletics (A+),sa873983
Boris Sanchez,Mets (R),sa873182
Bowden Francis,- - -,sa918451
Brad Bass,Tigers (A),sa829618
Brad Case,- - -,sa3007613
Brad Kuntz,Brewers (AA),sa877529
Brad Markey,- - -,sa659004
Brad Schreiber,Rockies (A-),sa503433
Brad Wilson,Blue Jays (R),sa3007247
Braden Bristo,- - -,sa918549
Braden Pearson,Rangers (R),sa3006998
Braden Webb,- - -,sa876362
Bradey Welsh,- - -,sa3007941
Brady Anderson,- - -,sa920186
Brady Bowen,Cardinals (AA),sa880382
Brady Dragmire,- - -,sa598911
Brady Feigl,- - -,sa3007455
Brady Feigl,- - -,sa824867
Brady Lail,- - -,sa658405
Brady Miller,- - -,sa3006958
Brady Puckett,- - -,sa829632
Brady Schanuel,- - -,sa918871
Braeden Ogle,Pirates (A),sa917989
Braham Rosario,- - -,sa3006156
Brahiap Carrillo,Twins (R),sa3005473
Brailin Gonzalez,Mets (R),sa3005442
Brailyn Marquez,- - -,sa918004
Bralin Jackson,Pirates (AA),sa658012
Brallan Perez,Athletics (A+),sa736999
Branden Kline,- - -,sa501558
Brandon Bailey,- - -,sa873692
Brandon Baker,Rangers (R),sa3008529
Brandon Barker,Marlins (AA),sa829237
Brandon Bielak,- - -,sa915815
Brandon Bonilla,- - -,sa602380
Brandon Brennan,- - -,sa550121
Brandon Downes,Royals (AA),sa602678
Brandon Gold,Rockies (A+),sa872724
Brandon Hughes,Cubs (A),sa915618
Brandon Koch,Rays (A+),sa875026
Brandon Lawson,- - -,sa918264
Brandon Leibrandt,Phillies (AAA),sa602915
Brandon Marsonek,- - -,sa3004117
Brandon Miller,Marlins (A),sa873281
Brandon Polizzi,Blue Jays (A-),sa3002885
Brandon Presley,Brewers (R),sa3004594
Brandon Quintero,Mexican (AAA),sa875655
Brandon Ramey,Phillies (R),sa3007936
Brandon S. White,- - -,sa918249
Brandon Waddell,- - -,sa875075
Brandon Withers,- - -,sa3005217
Brandyn Sittinger,- - -,sa918367
Braulio Lara,- - -,sa506176
Braulio Nunez,Royals (R),sa3003092
Braulio Ortiz,- - -,sa603264
Braulio Torres-Perez,Mexican (AAA),sa3005365
Brauny Munoz,Indians (R),sa3006398
Braxton Ashcraft,Pirates (R),sa3008470
Braxton Light,Cubs (R),sa3008558
Braxton Lorenzini,Rockies (A),sa876106
Brayan Aquino,Red Sox (R),sa3006493
Brayan Bello,- - -,sa3005436
Brayan Castillo,Rockies (R),sa3006544
Brayan De Paula,Marlins (R),sa3005070
Brayan Herrera,White Sox (R),sa3003006
Brayan Mejia,- - -,sa3003093
Brayan Perez,Mariners (R),sa3006100
Brayan Salaya,Brewers (R),sa3003032
Brayant Nova,White Sox (R),sa916991
Brayden Bouchey,- - -,sa918925
Braydon Fisher,Dodgers (R),sa3007929
Breckin Williams,- - -,sa875020
Breidy Lara,- - -,sa3002798
Breiling Eusebio,Rockies (A),sa828552
Brenan Hanifee,Orioles (A),sa917973
Brendan Butler,Athletics (A+),sa876039
Brendan Feldmann,- - -,sa3004803
Brendan Hardy,Mets (R),sa3008290
Brendan King,Cubs (A),sa915721
Brendan McCurry,Astros (AAA),sa829486
Brendan McKay,- - -,sa829698
Brendan Meyer,Indians (R),sa3008158
Brendan Nail,Red Sox (A),sa3005359
Brendon Little,Cubs (A),sa876266
Brennan Bernardino,Reds (AA),sa829409
Brennan Price,- - -,sa918653
Brennon Kaleiwahea,Cubs (A-),sa3007917
Bret Helton,Pirates (AA),sa875307
Brett Adcock,- - -,sa873691
Brett Bond,Angels (R),sa3007508
Brett Conine,Astros (A-),sa3008024
Brett Daniels,Astros (A-),sa3008127
Brett de Geus,Dodgers (R),sa3006813
Brett Hanewich,- - -,sa874149
Brett Lilek,Marlins (R),sa659053
Brett Martin,Rangers (AA),sa828879
Brett McKinney,Pirates (AAA),sa738242
Brett Morales,Yankees (R),sa738346
Brett Seeburger,Cardinals (A-),sa3004316
Briam Campusano,- - -,sa917756
Brian Abreu,Royals (R),sa3003076
Brian Auerbach,Phillies (R),sa3007939
Brian Brown,Red Sox (A-),sa3007470
Brian Christian,Diamondbacks (A-),sa3006799
Brian Clark,White Sox (AA),sa827463
Brian Glowicki,Cubs (A),sa3004826
Brian Gonzalez,- - -,sa828794
Brian Howard,- - -,sa918377
Brian Hunter,- - -,sa829173
Brian Keller,Yankees (AA),sa918951
Brian Metoyer,- - -,sa3008361
Brian Moran,- - -,sa501495
Brian Pirela,Cardinals (R),sa879199
Brian Rapp,Twins (R),sa3007709
Brian Shaffer,- - -,sa915633
Brian Trieglaff,- - -,sa918286
Briant Tejeda,Tigers (R),sa3005874
Brigham Hill,- - -,sa915793
Bringnel Mendez,Yankees (R),sa873208
Brock Burke,- - -,sa828798
Brock Carpenter,Dodgers (A),sa738974
Brock Dykxhoorn,- - -,sa658513
Brody Koerner,- - -,sa875744
Brody Rodning,Blue Jays (A),sa3004591
Brooks Kriske,- - -,sa918091
Brooks Wilson,- - -,sa3006966
Bruce Zimmermann,- - -,sa3004810
Brusdar Graterol,- - -,sa873310
Bryam Pena,- - -,sa3006166
Bryan Abreu,- - -,sa828588
Bryan Alcala,Phillies (R),sa3002685
Bryan Baker,- - -,sa739000
Bryan Batista,Padres (R),sa3006106
Bryan Blanton,Yankees (R),sa3004351
Bryan Bonnell,Mariners (AA),sa658824
Bryan Brickhouse,- - -,sa597825
Bryan Caceres,Nationals (R),sa3005687
Bryan Dobzanski,- - -,sa829656
Bryan Evans,- - -,sa455162
Bryan Harper,Nationals (AA),sa549768
Bryan Herrera,- - -,sa917111
Bryan Hudson,Cubs (A+),sa874984
Bryan Lara,- - -,sa3003067
Bryan Lucas,Red Sox (R),sa3006123
Bryan Mata,Red Sox (A+),sa917784
Bryan Menendez,Diamondbacks (R),sa3006990
Bryan Pena,Nationals (R),sa3006483
Bryan Sammons,- - -,sa3003932
Bryan Solano,- - -,sa3003149
Bryan Torres,Pirates (R),sa3006139
Bryan Valdez,- - -,sa919377
Bryan Warzek,- - -,sa3008165
Bryant Flete,White Sox (AA),sa657425
Bryant Perez,Twins (R),sa3008167
Bryar Johnson,Royals (R),sa3004670
Bryce Conley,Athletics (A),sa3004704
Bryce Hensley,- - -,sa3006988
Bryce Howe,- - -,sa3004474
Bryce Hutchinson,Mets (R),sa3005328
Bryce Nightengale,- - -,sa3007481
Bubba Derby,Brewers (AAA),sa875183
Bud Jeter,- - -,sa738369
Burris Warner,- - -,sa918496
C.J. Carter,- - -,sa3007490
C.J. Eldred,Royals (R),sa3006697
C.J. Saylor,Cardinals (A),sa658930
Caden Lemons,- - -,sa3005350
Cal Quantrill,- - -,sa738477
Cale Coshow,Yankees (AAA),sa738313
Caleb Baragar,- - -,sa918160
Caleb Boushley,- - -,sa3004226
Caleb Evans,- - -,sa3004484
Caleb Knight,Cubs (A-),sa3008279
Caleb Sampen,Dodgers (R),sa3007965
Caleb Simpson,Giants (AA),sa738717
Calvin Coker,- - -,sa3007932
Calvin Faucher,- - -,sa3004013
Cam Alldred,- - -,sa3006833
Cam Baird,Marlins (R),sa3007482
Cam Balego,Cubs (A),sa3004517
Cam Hill,Indians (AAA),sa829228
Cam Robinson,Brewers (R),sa3005216
Cam Sanders,- - -,sa3008067
Cam Vieaux,- - -,sa873657
Cameron Bishop,Orioles (A),sa829601
Cameron Kurz,Braves (R),sa3007908
Cameron McVey,Mexican (AAA),sa599238
Cameron Ming,- - -,sa3004576
Cameron Mingo,- - -,sa945471
